"page_name","country","post_date","total_interactions","Message","URL"
"NDTV","IN",2020-07-01,48,"The CEO of TikTok has written a letter to employees in India of the Chinese video-sharing app that was among 59 apps banned by the Indian government.","https://www.facebook.com/102527030797/posts/10158938080290798"
"NDTV","IN",2020-02-02,48,"The People's Bank of China said in a statement it would launch a 1.2 trillion yuan reverse repurchase operation to maintain ""reasonable and abundant liquidity"" in the banking system.","https://www.facebook.com/102527030797/posts/10158411199580798"
"NDTV","IN",2023-05-22,48,"PM Modi also invoked Buddha and said there is no such problem in the modern age whose solution cannot be found in his teachings.","https://www.facebook.com/100064668314825/posts/657188869780051"
"NDTV","IN",2022-12-09,48,"The meetings come on the third and final day of Xi's first visit to Saudi Arabia since 2016 and only his third overseas trip since the coronavirus pandemic began.","https://www.facebook.com/100064668314825/posts/544494454382827"
"CBC News","CA",2022-10-30,48,"China's lack of attention to economic policy could have a damaging impact on Canadian business and beyond, according to experts.","https://www.facebook.com/100064598657599/posts/498856688944282"
"RTÉ News","IE",2022-06-01,47,"Shanghai is slowly whirring back to life as a range of Covid-19 restrictions have been eased after a two-month lockdown which battered the Chinese economy","https://www.facebook.com/257558294273180/posts/5825380410824246"
"Malaysiakini","MY",2021-06-01,47,"Married Chinese couples may have up to three children, China announced on Monday, in a major shift from the existing limit of two after recent data showed a dramatic decline in births in the world's most populous country. Beijing scrapped its decades-old one-child policy in 2016, replacing it with a two-child limit to try and stave off risks to its economy from a rapidly aging population. But that failed to result in a sustained surge in births given the high cost of raising children in Chinese cities, a challenge that persists to this day. The policy change will come with ""supportive measures, which will be conducive to improving our country's population structure, fulfilling the country's strategy of actively coping with an ageing population"", the official Xinhua news agency said following a politburo meeting chaired by President Xi Jinping.","https://www.facebook.com/47298465905/posts/10158156786030906"
"Malaysiakini","MY",2020-07-07,47,"'Special drinks for socialism with Chinese characteristics!'","https://www.facebook.com/47298465905/posts/10157370818380906"
"detikcom","ID",2021-07-22,47,"Bencana alam banjir di China yang terjadi sejak 17 Juli dan terus terjadi hingga hari ini ternyata menenggelamkan pusat ekonomi dan transportasi.","https://www.facebook.com/374777242078/posts/10160723941627079"
"El Universal Online","MX",2020-01-27,47,"#Opinión de Juan Ramón de la Fuente | El combate al novel coronavirus detectado en la ciudad de Wuhan, provincia de Hubei, en la parte central de China, inició en los dos frentes: el sanitario y el informativo. Pronto se abrirá un tercero, cuando se dimensionen sus consecuencias en la economía","https://www.facebook.com/54013055680/posts/10158797636545681"
"NDTV","IN",2021-03-01,47,"Underlining that China is the second-largest economy in the world and India has a large trade profile with it, Mr Shringla said clearly India has to continue to work on the economic relationship.","https://www.facebook.com/102527030797/posts/10159592099500798"
"NDTV","IN",2020-12-04,47,"US Director of National Intelligence John Ratcliffe said in a Wall Street Journal opinion piece on Thursday that Chinese spies were using economic pressure to influence or undermine US legislators.","https://www.facebook.com/102527030797/posts/10159366031805798"
"NDTV","IN",2020-07-24,47,"""The ball is in India's court and yes, we need to rely on diplomacy, economic pressure, etc. but we cannot completely rule out the military option"": Lt Gen DS Hooda, Former Northern Army Commander on the border tensions between India and China","https://www.facebook.com/102527030797/posts/10159008029400798"
"GMA News","PH",2021-06-01,47,"For almost 40 years, China enforced a controversial ""one-child policy""—one of the strictest family planning regulations worldwide—which was relaxed in 2016 to a ""two-child policy"" due to widespread concerns over an ageing workforce and economic stagnation.","https://www.facebook.com/116724526976/posts/10160094667896977"
"Citizen TV Kenya","KE",2023-11-30,46,"West's De-Risking Starts To Bite China's Prospects","https://www.facebook.com/100044260518058/posts/912852590200083"
"Malaysiakini","MY",2021-03-06,46,NA,"https://www.facebook.com/47298465905/posts/10157970137145906"
"CNA","SG",2022-11-21,46,"The world economy isn’t in super shape. Mistakes have been made. But the past week has seen some important developments, says this writer.","https://www.facebook.com/93889432933/posts/10159295093677934"
"CNA","SG",2021-05-07,46,"The target to get carbon emissions to net zero by 2030 is daunting when China's emissions are still growing. Find out what the world's second largest economy needs to do to show it can pull it off in this week's The Climate Conversations.","https://www.facebook.com/93889432933/posts/10158279628957934"
"CNA","SG",2023-06-20,46,"Chinese Premier Li Qiang, who is in Germany, has also underlined the emphasis Beijing places on improving relations with the European Union.","https://www.facebook.com/100064391875569/posts/643312587825131"
"ABC News","AU",2022-09-02,46,"21 million people in Chengdu have entered a lockdown as Beijing continues to pursue its controversial ‘zero-COVID’ policy. Bloomberg reporter Allen Wan explains what this will mean for the country’s economy and how people are reacting.","https://www.facebook.com/72924719987/posts/10163703859594988"
"NDTV","IN",2021-05-07,46,"Speaking in deep-Republican Louisiana, Joe Biden pitched his $2.3 trillion infrastructure proposal as a way to secure US preeminence on the global stage as much as fixing dangerous bridges and roads.","https://www.facebook.com/102527030797/posts/10159752496135798"
"NDTV","IN",2020-04-23,46,"US India Strategic and Partnership Forum president said the COVID-19 crisis has offered India the best opportunity to replace China as the world's manufacturing hub.","https://www.facebook.com/102527030797/posts/10158697635160798"
"NDTV","IN",2022-07-04,46,"China is the last major economy wedded to a zero-Covid strategy, responding to all cases with strict isolation orders and tough testing campaigns.","https://www.facebook.com/100064668314825/posts/415521003946840"
"GMA News","PH",2023-01-19,46,"Xi Jinping has said he is ""concerned"" about the virus situation in the Chinese countryside, state media reported, as millions of people head to rural hometowns ahead of upcoming Lunar New Year celebrations. The Chinese leader also defended his zero-COVID-19 policy -- lifted last month after crippling the economy and sparking nationwide protests -- saying it had been ""the right choice.""","https://www.facebook.com/116724526976/posts/10161550914676977"
"GMA News","PH",2023-01-17,46,"China's population fell last year for the first time in six decades. The drop, the worst since 1961, the last year of China's Great Famine, also lends weight to predictions that India will become the world's most populous nation this year.","https://www.facebook.com/116724526976/posts/10161546598346977"
"CNA","SG",2023-07-24,45,"Despite facing its lowest fundraising in 20 years amid a tough global outlook, the Hong Kong Exchanges and Clearing (HKEX) has seen a “fairly healthy number” of firms go public so far this year, said its CEO.","https://www.facebook.com/100064391875569/posts/663605639129159"
"detikcom","ID",2020-10-19,45,"Top! Pertumbuhan ekonomi China tercatat sebesar 4,9% pada kuartal-III 2020 dibandingkan periode yang sama tahun lalu. Begini data dan faktanya. #China via Detikfinance","https://www.facebook.com/374777242078/posts/10159829405187079"
"detikcom","ID",2020-01-16,45,"AS telah menandatangani perjanjian dagang dengan China. Meski begitu, bukan berarti ketidakpastian dagang tak berdampak pada ekonomi tahun ini. #AS #China via Detikfinance","https://www.facebook.com/374777242078/posts/10158765482047079"
"ABC News","AU",2023-03-06,45,"The Premier of China has forecast economic growth of 5% this year, with its harsh zero-COVID policy dampening its performance. It's also been announced that China will ramp up defence spending, though it will still be dwarfed by the United States' military budget.","https://www.facebook.com/72924719987/posts/10164280747044988"
"Digi24","RO",2022-08-27,44,"Banca Centrală a Chinei pune mai multă presiune pe instituțiile financiare autohtone și străine","https://www.facebook.com/361342783884945/posts/6068180443201122"
"Citizen TV Kenya","KE",2023-08-30,44,"China Warns US Against 'Disastrous' Trade Curbs","https://www.facebook.com/100044260518058/posts/858193578999318"
"CNA","SG",2019-12-10,44,"The US government's drive to support tech and innovation has led to huge gains in growth and well-being. It's time for other countries to follow in these footsteps, economists say.","https://www.facebook.com/93889432933/posts/10156932419862934"
"detikcom","ID",2021-09-03,44,"China saat ini sedang fokus mencoba menghentikan lonjakan kasus yang menimbulkan krisis logistik. Ini biang keroknya:","https://www.facebook.com/374777242078/posts/10160834233377079"
"Infobae","AR",2022-03-08,44,"El Premio Nobel de Economía expuso las razones que hacen imposible esa posibilidad y lo comparó con la Alemania nazi y la Italia fascista de la Segunda Guerra Mundial | Por Paul Krugman","https://www.facebook.com/34839376970/posts/10159947140551971"
"Diario El Comercio (Perú)","PE",2022-12-03,44,"Pierden ellos, pierde todo el mundo. 📉 Estrictos confinamientos han golpeado a la segunda mayor economía del mundo. Las proyecciones apuntan a que este año tendrá uno de los menores crecimientos de las últimas cuatro décadas, afectando a todo el resto de los países.","https://www.facebook.com/71263708835/posts/10161440091998836"
"GMA News","PH",2023-09-23,44,"Chinese President Xi Jinping opened the COVID-delayed 19th #AsianGames in the Eastern city of Hangzhou during a spectacular and at times raucous ceremony on Saturday, which organisers hope will lift the mood in a nation struggling with an economic slump.","https://www.facebook.com/100064849986224/posts/718755756962751"
"CNA","SG",2023-04-10,43,"Multinational companies are looking to reorient supply chains to reduce their dependence on China, but India's trade policy signals a lack of confidence in its ability to compete globally, says this economist.","https://www.facebook.com/93889432933/posts/10159558183792934"
"detikcom","ID",2021-10-07,43,"Malaysia mengklaim kapal China ""masuk"" zona ekonomi eksklusif mereka, sementara Indonesia menganggap armada riset Beijing hanya ""melintas"" di perairan internasional di Laut Natuna Utara. #CNNIndonesia #detiknetwork","https://www.facebook.com/374777242078/posts/10160911744632079"
"ABC News","AU",2020-05-14,43,"While some traditional industries, such as agriculture and aquaculture, continue to boom, others such as manufacturing have dropped off.","https://www.facebook.com/72924719987/posts/10161200661149988"
"GMA News","PH",2023-09-14,43,"China and Venezuela signed several bilateral cooperation documents focused on various areas including economy, trade and tourism, China's state broadcaster China Central Television (CCTV) said.","https://www.facebook.com/100064849986224/posts/712075870964073"
"RTÉ News","IE",2020-04-17,42,"Virus hands China first economic contraction in decades https://www.rte.ie/news/business/2020/0417/1132033-chinese-economy/","https://www.facebook.com/257558294273180/posts/3420147168014261"
"CNA","SG",2023-01-17,42,"Some analysts see Chinese New Year as a welcome early consumption boost, after China's economy slowed sharply in the fourth quarter of 2022.","https://www.facebook.com/93889432933/posts/10159405213047934"
"detikcom","ID",2021-09-17,42,"#CNNIndonesia Setelah memprioritaskan pertumbuhan ekonomi selama setidaknya 40 tahun terakhir, China tampak mulai kembali mempromosikan lagi kesetaraan sosial yang menjadi pilar utama komunisme Negeri Tirai Bambu. #detikNetwork","https://www.facebook.com/374777242078/posts/10160866858232079"
"detikcom","ID",2021-08-06,42,"Melesatnya ekonomi China banyak terbantu oleh kesuksesan para raksasa teknologinya. Akan tetapi kini pemerintah China malah seakan menghajar para perusahaan itu.","https://www.facebook.com/374777242078/posts/10160765059657079"
"Infobae","AR",2022-08-22,42,"Golpeada por la crisis del sector inmobiliario","https://www.facebook.com/34839376970/posts/10160381748851971"
"GMA News","PH",2023-05-27,42,"Trade ministers from the Asia Pacific Economic Cooperation (APEC) countries agreed on Friday to promote more inclusive and sustainable trade, but failed to produce a joint statement due to Russia and China's objections to language on Ukraine.","https://www.facebook.com/116724526976/posts/10161851155931977"
"CBC News","CA",2023-03-14,42,"China will reopen its borders to tourists and resume issuing all visas on Wednesday after a three-year halt during the pandemic, as it seeks to boost its tourism sector and economy.","https://www.facebook.com/100064598657599/posts/595859409244009"
"Digi24","RO",2022-11-02,41,"Xi i-a spus premierului Shehbaz Sharif că ţările lor ar trebui să avanseze mai eficient în construirea coridorului lor economic şi să accelereze construirea infrastructurii pentru portul maritim Gwadar","https://www.facebook.com/361342783884945/posts/6278450275507470"
"Digi24","RO",2020-07-24,41,"Washingtonul consideră din ce în ce mai mult China drept competitorul său strategic, atât din punct de vedere economic, cât şi militar.","https://www.facebook.com/361342783884945/posts/3671127106239813"
"detikcom","ID",2020-03-05,41,"Duh, wabah corona virus yang telah menyebar ke banyak negara disebut bisa menekan perekonomian China. Sejauh mana corona menggerogoti ekonomi China? #China via Detikfinance","https://www.facebook.com/374777242078/posts/10158959104122079"
"Infobae","AR",2023-10-25,41,"China aprobó una emisión de bonos soberanos por 1 billón de yuanes","https://www.facebook.com/100064884184347/posts/764093655763434"
"Diario El Comercio (Perú)","PE",2022-06-12,41,"🇦🇺 Australia es la decimotercera economía del mundo, pero sigue vinculada a la corona británica. Tiene una ubicación estratégica, pero para contrarrestar a China ha suscrito acuerdos militares con Estados Unidos.","https://www.facebook.com/71263708835/posts/10161026298258836"
"Diario El Comercio (Perú)","PE",2021-08-19,41,"ES MÁS COMPLEJO DE LO QUE CREES. 💸 El país es rico en minerales, tanto así que expertos dicen que podría ser la “Arabia Saudita del litio”. Sin embargo, ¿cuáles son las perspectivas reales de su economía? 🤔","https://www.facebook.com/71263708835/posts/10160400647148836"
"ABC News","AU",2023-09-19,41,"New economic forecasts are painting a bleak picture for the world's economy in 2024, dragged down by persistent inflation and ongoing problems in China.","https://www.facebook.com/100044138394046/posts/879525896862015"
"ABC News","AU",2023-06-21,41,"Fidelity International's Catherine Yeung and Capital Economics' Julian Evans-Pritchard join The Business to discuss what's next for China and its economy.","https://www.facebook.com/100044138394046/posts/831762084971730"
"NDTV","IN",2020-07-21,41,"The external affairs minister said there are ways of engaging the world which do not necessarily have to be ""FTA-centric"".","https://www.facebook.com/102527030797/posts/10159001082675798"
"GMA News","PH",2023-08-15,41,"The Philippine government is uncertain if a United Nations General Assembly (UNGA) resolution calling out Chinese aggression and incursions in the Philippines’ exclusive economic zone (EEZ) will gain enough support from the international community, Foreign Affairs Secretary Enrique Manalo said Tuesday.","https://www.facebook.com/100064849986224/posts/694796586025335"
"detikcom","ID",2022-04-04,40,"Pemerintahan Presiden China Xi Jinping memutuskan untuk melakukan lockdown di wilayah Shanghai, tempat yang menjadi pusat keuangan di Negeri Tirai Bambu.","https://www.facebook.com/374777242078/posts/10161326828552079"
"detikcom","ID",2021-12-07,40,"Kemenkeu menyatakan pertumbuhan ekonomi Indonesia tidak pernah berada di bawah perekonomian global dalam 20 tahun terakhir ini.","https://www.facebook.com/374777242078/posts/10161062833422079"
"detikcom","ID",2021-05-20,40,"AS dan China tengah berlomba merebut komoditas untuk membangun ekonomi mereka setelah pandemi.Harga material meroket.","https://www.facebook.com/374777242078/posts/10160535835672079"
"Infobae","AR",2023-06-04,40,"“Guerra por Taiwán afectaría economía mundial”","https://www.facebook.com/34839376970/posts/10161224785596971"
"Infobae","AR",2022-10-27,40,"Por el enfriamiento de la economía","https://www.facebook.com/34839376970/posts/10160549758086971"
"Infobae","AR",2022-08-19,40,"La brutal política de Covid-cero es sólo uno de esos desajustes. | Por The Economist","https://www.facebook.com/34839376970/posts/10160373758861971"
"NDTV","IN",2022-03-15,40,"Major Apple supplier Foxconn suspended its operations in Shenzhen, the company said Monday, as the lockdown bit hard into economic activity across the factory hub.","https://www.facebook.com/102527030797/posts/10160380139415798"
"NDTV","IN",2021-03-27,40,"The China-Iran pact, which Tehran said included ""political, strategic and economic"" components, was signed by the two countries' foreign ministers, Wang Yi and Mohammad Javad Zarif.","https://www.facebook.com/102527030797/posts/10159656117495798"
"NDTV","IN",2021-02-27,40,"If passed, it would prohibit Chinese nationals from receiving 10-year B-1/B-2 visas until the Secretary of State certifies that China has ""ceased its campaign of economic and industrial espionage against the United States and ended its provocative and coercive behaviour towards Taiwan.""","https://www.facebook.com/102527030797/posts/10159588582370798"
"NDTV","IN",2022-08-02,40,"The International Monetary Fund has bad news for the big 3 - the United States, China and the Euro area and the global economy.","https://www.facebook.com/100064668314825/posts/438795481619392"
"GMA News","PH",2022-04-21,40,"A prolonged slowdown in China would have substantial global spillovers, IMF Managing Director Kristalina Georgieva said on Thursday, but added that Beijing has room to adjust policy to provide support.","https://www.facebook.com/116724526976/posts/10160912118131977"
"NU.nl","NL",2023-08-12,39,"In China wordt het leven niet duurder, maar juist 'goedkoper'. En dat is een probleem.","https://www.facebook.com/100064711354975/posts/704801068353599"
"Malaysiakini","MY",2023-10-31,39,"Prime Minister Anwar Ibrahim said the government has not decided on whether they will boycott the Asia-Pacific Economic Cooperation (APEC) forum in San Francisco, California. We are looking into it, we are in contact with other Asean countries, and China, on their position (about the meeting), he said. Anwar added that the government will make a decision that is in line with our allies and Asia. Video source: https://www.youtube.com/watch?v=92BrfMjBT-Q","https://www.facebook.com/100064661654921/posts/732726798892702"
"detikcom","ID",2022-04-14,39,"Terletak di pantai timur China, Shanghai adalah kota terbesar dan paling makmur di negara itu dan salah satu kota metropolitan terbesar di dunia.","https://www.facebook.com/374777242078/posts/10161349737122079"
"Infobae","AR",2022-11-22,39,"El gobierno reportó el martes 28.127 casos detectados en 24 horas en todo el país, incluidos 25.903 asintomáticos","https://www.facebook.com/34839376970/posts/10160676528726971"
"NDTV","IN",2020-01-22,39,"Satya Nadella said he worries that mistrust between the U.S. and China will increase technology costs.","https://www.facebook.com/102527030797/posts/10158371333325798"
"NDTV","IN",2022-12-07,39,"China Covid: People infected with Covid but with mild or no symptoms can now isolate at home rather than in state-managed facilities.","https://www.facebook.com/100064668314825/posts/543120927853513"
"GMA News","PH",2023-02-21,39,"Major industrial and economic centers in China and the United States are among the most vulnerable regions in the world to the increasingly destructive power of climate change-driven weather extremes, according to a comprehensive analysis Monday. READ: https://www.gmanetwork.com/news/scitech/science/861465/regions-in-us-china-most-at-risk-for-climate-damage-report/story/ The new findings underscore the urgent need for governments to focus on decarbonization and adaptation measures such as flood-proofing -- and show the economic fallout from climate change could be grave and widespread.","https://www.facebook.com/116724526976/posts/10161628598091977"
"CNA","SG",2023-03-31,38,"From China’s economic rebound to calls for greater regional cooperation and integration, here are the key takeaways from the Boao Forum in Hainan.","https://www.facebook.com/93889432933/posts/10159542244532934"
"CNA","SG",2023-09-15,38,"Economists say high-frequency data points like subway ridership and commodity prices suggest parts of China's economy are functioning well.","https://www.facebook.com/100064391875569/posts/694042422752147"
"detikcom","ID",2020-11-11,38,"China mendesak AS berhenti meningkatkan hubungan dengan Taiwan setelah AS dan Taipei mengumumkan bahwa akan mengadakan pembicaraan ekonomi pada bulan ini.","https://www.facebook.com/374777242078/posts/10159903837307079"
"GMA News","PH",2023-03-11,38,"Li Qiang, the former Communist Party chief of Shanghai, took office on Saturday as China's premier, the country's No.2 post, putting the close ally of President Xi Jinping in charge of reviving an economy battered by three years of COVID-19 curbs.","https://www.facebook.com/116724526976/posts/10161670670896977"
"CBC News","CA",2023-03-22,38,"Xi Jinping's visit is a boost to Moscow as it struggles to make ground in its year-long war on Ukraine. But it was criticized by the U.S. as providing 'diplomatic cover' for Vladimir Putin and for the war crimes his forces are accused of committing.","https://www.facebook.com/100064598657599/posts/600503665446250"
"NU.nl","NL",2019-12-13,37,"De monsterzege van Johnson moet een einde maken aan de onzekerheid waar de Britse economie onder leed.","https://www.facebook.com/129383287089484/posts/3183296065031509"
"Malaysiakini","MY",2021-09-27,37,"Beijing's new blanket ban is broadest yet by a major economy. Get our free newsletter: bit.ly/fb-knbrief:=:https://www.malaysiakini.com/newsletter/subscribe/kinimorningbrief","https://www.facebook.com/47298465905/posts/10158399476875906"
"detikcom","ID",2022-02-22,37,"Negeri Tirai Bambu, China, saat ini tengah menghadapi ""bom waktu"" demografis yang dapat membahayakan kondisi perekonomiannya.","https://www.facebook.com/374777242078/posts/10161236051257079"
"detikcom","ID",2021-11-15,37,"#Terpopuler Negara dengan ekonomi terbesar kedua di dunia, China tengah mengalami inflasi. Begini dampaknya ke Indonesia!","https://www.facebook.com/374777242078/posts/10161010359502079"
"Diario El Comercio (Perú)","PE",2023-11-17,37,"📍 La mandataria del Perú invitó a Xi Jinping a realizar una visita oficial al país el próximo año, por la Cumbre de Líderes de APEC Perú 2024, que se desarrollará en noviembre. En el encuentro participaron el canciller Javier González - Olaechea y el ministro de Comercio Exterior y Turismo, Juan Carlos Mathews. Según Palacio, se habló de cooperación económica y exploración de oportunidades de proyectos en salud, economía digital, comercio, energía, minería, turismo y cultura. En opinión del internacionalista Francisco Belaunde, “la reunión con Xi Jinping es importante, sí, aunque ya tenemos una relación sólida con China”. En tanto, para el internacionalista Óscar Vidarte, se trata de la cita bilateral más importante que ha sostenido la mandataria desde que llegó al poder, en diciembre pasado. 🔗 https://bit.ly/46sgne8:=:https://elcomercio.pe/politica/actualidad/dina-boluarte-se-reune-con-el-presidente-de-china-esta-fue-su-agenda-en-su-tercer-dia-en-eeuu-noticia/ 🔗 #DinaBoluarte #China #XiJinping","https://www.facebook.com/100064348614929/posts/746963734125240"
"El País","ES",2021-05-12,37,"La población de China supera los 1.411 millones de personas, pero el rápido envejecimiento, el más veloz del mundo, amenaza con convertir al país en una sociedad anciana a pasos agigantados","https://www.facebook.com/8585811569/posts/10158266086271570"
"ABC News","AU",2023-07-18,37,"The world's second largest economy grew at a 6.3 per cent annual pace in the April-June quarter, much slower than the 7 per cent plus growth forecast.","https://www.facebook.com/100044138394046/posts/846538713494067"
"ABC News","AU",2023-07-08,37,"US Treasury Secretary Janet Yellen meets with Chinese Premier Li Qiang during a visit to Beijing aimed at repairing fractious economic relations.","https://www.facebook.com/100044138394046/posts/841004834047455"
"NDTV","IN",2022-04-28,37,"A Chinese Foreign Ministry spokesman said the Pakistani government has promised to strengthen security for Chinese personnel, projects and institutions","https://www.facebook.com/100064668314825/posts/361982465967361"
"CBC News","CA",2021-10-18,37,"#Analysis: China's President Xi wants to transform the economy to help the poorest. He also insists the country can cut its carbon output. But can he do both at the same time and hang on to power?","https://www.facebook.com/5823419603/posts/10160041700894604"
"Citizen TV Kenya","KE",2023-08-30,36,"China Warns US Against 'Disastrous' Trade Curbs","https://www.facebook.com/100044260518058/posts/858309848987691"
"CNA","SG",2020-01-20,36,"China has fuelled much of the global economic growth in the last decade. We now need a new source for growth, says an observer.","https://www.facebook.com/93889432933/posts/10157045538067934"
"detikcom","ID",2020-03-05,36,"""Ada gambaran kalau corona berlangsung 1 kuartal atau sampai Maret ini akan memangkas 1% dari pertumbuhan ekonomi China, jika lebih maka bisa 1-1,5%."" #EkonomiChina via Detikfinance","https://www.facebook.com/374777242078/posts/10158959311192079"
"detikcom","ID",2020-02-05,36,"Mahasiswa asal Brebes, Muhammad Isy Azka (22) jalani observasi sepulang dari China. Azka merupakan mahasiswa Fakultas International Economic di Fuzhao University, China. #China #WNI","https://www.facebook.com/374777242078/posts/10158847473462079"
"detikcom","ID",2022-04-28,36,"China berencana membangun infrastruktur baru sebagai upaya memperbaiki ekonominya yang porak poranda akibat kebijakan lockdown COVID-19.","https://www.facebook.com/100064777748241/posts/365023489000240"
"Infobae","AR",2022-03-08,36,"El Premio Nobel de Economía expuso las razones que hacen imposible esa posibilidad y lo comparó con la Alemania nazi y la Italia fascista de la Segunda Guerra Mundial | Por Paul Krugman","https://www.facebook.com/34839376970/posts/10159946847541971"
"Infobae","AR",2022-03-06,36,"A su vez, el FMI dijo que el agravamiento del conflicto bélico tendrá efectos “devastadores” para la economía mundial","https://www.facebook.com/34839376970/posts/10159942727226971"
"Infobae","AR",2023-12-13,36,"Beijing habla de optimismo a largo plazo, el FMI vaticinó menor crecimiento en 2024","https://www.facebook.com/100064884184347/posts/797332189106247"
"NDTV","IN",2020-11-28,36,"The four firms, accused of ""transferring sensitive technology and items to Iran's missile program,"" will be subject to restrictions on US government aid and on their exports for two years, Secretary of State Mike Pompeo said in a statement.","https://www.facebook.com/102527030797/posts/10159350611895798"
"NDTV","IN",2024-01-04,36,"Global Times, a prominent state-run Chinese media outlet, has published the article penned by Zhang Jiadong, the director of the Center for South Asian Studies at Fudan University, Shanghai, that highlights India's remarkable achievements over the past four years.","https://www.facebook.com/100064668314825/posts/795313622634241"
"CNA","SG",2023-09-05,35,"Country Garden's predicament highlights the fragile state of China's real estate sector, which accounts for roughly a quarter of the country's economy.","https://www.facebook.com/100064391875569/posts/688245146665208"
"CNA","SG",2023-07-17,35,"""China’s Q2 GDP growth surprised on the downside ... We might have to embrace a new wave of growth outlook downgrade in the next couple of days,"" says an economist.","https://www.facebook.com/100064391875569/posts/659451312877925"
"El País","ES",2023-07-14,35,"“China ha estado comprando y adquiriendo control o influencia en los sectores energéticos e industriales del Reino Unido. Y hasta la pandemia de la covid-19, el dinero chino fue aceptado por el Gobierno de Su Majestad sin hacer demasiadas preguntas”","https://www.facebook.com/100064926330075/posts/670881835086022"
"ABC News","AU",2023-11-16,35,"Chinese President Xi Jinping is in San Francisco in his first visit to the US in six years, ahead of talks with his American counterpart Joe Biden on the sidelines of the APEC forum. Research director at the United States Studies Centre Jared Mondschein says talks between the two leaders will focus on stabilising bilateral ties.","https://www.facebook.com/100044138394046/posts/909782587169679"
"NDTV","IN",2021-12-26,35,"British consultancy Cebr predicted China will become the world's top economy in dollar terms in 2030, two years later than forecast in last year's World Economic League Table report.","https://www.facebook.com/102527030797/posts/10160233544210798"
"NDTV","IN",2021-03-12,35,"Australia, Japan and India all fret about Beijing's expanding economic and military heft, and the first meeting on Friday of leaders of the group known as the Quad will be a show of unity against Beijing.","https://www.facebook.com/102527030797/posts/10159619453535798"
"NDTV","IN",2020-03-10,35,"Economists say the coronavirus outbreak is expected to take an economic toll in Asia given its trade and production linkages with China.","https://www.facebook.com/102527030797/posts/10158532321340798"
"NDTV","IN",2022-06-28,35,"The capital and financial hub both recorded zero new locally-transmitted Covid infections for Monday.","https://www.facebook.com/100064668314825/posts/410432541122353"
"GMA News","PH",2023-08-26,35,"The Armed Forces of the Philippines on Friday said resupply missions in the country's exclusive economic zone would continue despite threats and harassment from China.","https://www.facebook.com/100064849986224/posts/700777838760543"
"CBC News","CA",2023-07-13,35,"#Analysis: Central banks around the world have been increasing interest rates, and some economists fear they will go too far, putting the economy into recession.","https://www.facebook.com/100064598657599/posts/670641871765762"
"RTÉ News","IE",2022-05-26,34,"China's financial hub Shanghai has unveiled more post-lockdown plans as it moves towards a return to normality following business disruptions, mass testing and mobility restrictions on vast swathes of the population","https://www.facebook.com/257558294273180/posts/5806886916006929"
"RTÉ News","IE",2021-11-11,34,"Afghanistan is ""at the brink of economic collapse"", Pakistan's foreign minister has warned US, Chinese, Russian and Taliban diplomats","https://www.facebook.com/257558294273180/posts/5155222104506750"
"Infobae","AR",2022-04-15,34,"Pandemia, guerra en Ucrania y economía","https://www.facebook.com/34839376970/posts/10160054484451971"
"ABC News","AU",2023-06-06,34,"The Lowy Institute has released the first development aid map of south-east Asia, revealing China is no longer the largest contributor in the region. Project leader Alexandre Dayant tells The World China's domestic economic struggles may be one of the reasons why they've pulled back.","https://www.facebook.com/72924719987/posts/10164526649549988"
"NDTV","IN",2022-07-23,34,"Pakistan and China on Friday decided to welcome any third country joining the multi-billion dollar China-Pakistan Economic Corridor for ""mutual beneficial cooperation"".","https://www.facebook.com/100064668314825/posts/430873409078266"
"GMA News","PH",2024-01-17,34,"China's population fell for a second consecutive year in 2023, as a plunging birth rate and a wave of COVID-19 deaths when strict lockdowns ended accelerated a downturn that will have profound long-term effects on the economy's growth potential.","https://www.facebook.com/100064849986224/posts/793699252801734"
"Digi24","RO",2023-07-07,33,"„Decuplarea primelor două mari economii ale lumii ar fi destabilizatoare pentru economia globală și ar fi practic imposibil de realizat”","https://www.facebook.com/100064669300182/posts/699503258881978"
"CNA","SG",2023-08-31,33,"China's economy is having a rough time, but comparisons with Japan are unfair - to Japan, say these Bloomberg Opinion columnists.","https://www.facebook.com/100064391875569/posts/685207346968988"
"detikcom","ID",2021-10-01,33,"Utang AS dan raksasa properti China, Evergrande tengah menjadi perhatian dunia. Masalah ini dikhawatirkan akan berpengaruh ke ekonomi global.","https://www.facebook.com/374777242078/posts/10160899659842079"
"detikcom","ID",2022-11-08,33,"Pertumbuhan ekonomi Indonesia pada kuartal III/2022 berhasil mengalahkan China dan Amerika Serikat (AS), setelah tumbuh sebesar 5,72% (year-on-year/yoy). Dari data BPS, China pada kuartal III tumbuh 3,9% dan AS sebesar 1,8%.","https://www.facebook.com/100064777748241/posts/546821310820456"
"NDTV","IN",2020-02-02,33,"Synchronised action of central banks and accommodative monetary policy have delivered half a percentage boost to global growth.","https://www.facebook.com/102527030797/posts/10158408975910798"
"CBC News","CA",2022-08-05,33,"Japanese Prime Minister Fumio Kishida says China's military exercises aimed at Taiwan threaten regional peace. Five ballistic missiles launched as part of the drills landed in Japan's exclusive economic zone.","https://www.facebook.com/100064598657599/posts/434703122026306"
